CATEGORIA;ene-15;feb-15;mar-15;abr-15;may-15;jun-15;jul-15;ago-15;sept-15;oct-15;nov-15;dic-15;ene-16;feb-16;mar-16;abr-16;may-16;jun-16;jul-16;ago-16;sept-16;oct-16;nov-16;dic-16;ene-17;feb-17;mar-17;abr-17;may-17;jun-17;jul-17;ago-17;sept-17;oct-17;nov-17;dic-17;ene-18;feb-18;mar-18;abr-18;may-18;jun-18;jul-18;ago-18;sept-18;oct-18;nov-18;dic-18;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sept-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sept-25;oct-25;nov-25;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;
OPERARIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;9.678;10.162;10.162;10.721;10.721;16.998;11.332;12.068;12.068;12.877;12.877;19.316;12.877;13.521;13.521;14.197;14.197;22.616;15.077;16.345;16.345;16.345;17.653;26.480;17.653;18.359;18.359;19.093;19.093;19.979;19.979;20.978;20.978;22.155;22.155;33.233;22.155;23.706;23.706;23.706;23.706;37.221;25.479;26.586;26.586;27.694;28.359;43.868;31.017;33.188;33.188;35.179;35.179;54.932;36.621;38.820;38.820;41.032;43.412;65.118;46.451;46.451;51.096;51.096;53.651;80.477;56.334;56.334;59.150;59.150;62.699;94.049;67.088;70.443;70.443;70.443;73.965;110.948;81.361;81.361;87.301;87.301;93.674;140.511;100.465;105.488;105.488;105.488;110.763;178.605;130.977;130.977;144.074;158.482;174.330;275.877;202.310;202.310;226.587;226.587;258.309;387.464;297.055;335.672;369.239;417.240;454.792;757.229;631.024;757.229;848.096;937.146;1.012.118;1.578.903;1.052.602;1.157.863;1.157.863;1.250.492;1.250.492;1.913.253;1.364.787;1.364.787;1.397.542;1.447.854;1.447.854;2.215.215;1.528.498;1.528.498;1.528.498;1.635.493;1.635.493;2.453.240;1.635.493;1.635.493;1.635.493;1.635.493;1.635.493;2.453.240;1.635.493;1.635.493;1.635.493;1.635.493;1.635.493;2.453.240;
36;10.361;10.879;10.879;11.477;11.477;18.198;12.132;12.920;12.920;13.786;13.786;20.679;13.786;14.475;14.475;15.199;15.199;24.212;16.141;17.499;17.499;17.499;18.899;28.349;18.899;19.655;19.655;20.441;20.441;21.390;21.390;22.459;22.459;23.719;23.719;35.579;23.719;25.379;25.379;25.379;25.379;39.848;27.277;28.463;28.463;29.649;30.360;46.964;33.207;35.531;35.531;37.663;37.663;58.811;39.207;41.560;41.560;43.929;46.476;69.714;49.730;49.730;54.703;54.703;57.438;129.236;60.310;60.310;63.325;63.325;67.215;100.823;71.823;75.415;75.415;75.415;79.185;118.778;87.104;87.104;93.463;93.463;100.285;150.428;107.556;112.934;112.934;112.934;118.580;191.211;140.221;140.221;154.244;169.668;186.635;295.350;216.590;216.590;242.580;242.580;276.541;414.812;318.022;359.365;395.302;446.691;486.893;810.677;675.564;810.677;907.958;1.003.293;1.083.557;1.690.349;1.126.899;1.239.589;1.239.589;1.338.756;1.338.756;2.048.297;1.461.119;1.461.119;1.496.186;1.550.049;1.550.049;2.371.574;1.636.386;1.636.386;1.636.386;1.750.933;1.750.933;2.626.400;1.750.933;1.750.933;1.750.933;1.750.933;1.750.933;2.626.400;1.750.933;1.750.933;1.750.933;1.750.933;1.750.933;2.626.400;
ADMINISTRATIVOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;8.624;9.055;9.055;9.553;9.553;15.146;10.097;10.754;10.754;11.474;11.474;17.211;11.474;12.048;12.048;12.650;12.650;20.151;13.434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;8.953;9.401;9.401;9.919;9.919;15.725;10.483;11.165;11.165;11.913;11.913;17.870;11.913;12.509;12.509;13.134;13.134;20.922;13.948;15.121;15.121;15.121;16.331;24.497;16.331;16.984;16.984;17.664;17.664;18.483;18.483;19.407;19.407;20.496;20.496;30.744;20.496;21.931;21.931;21.931;21.931;34.434;23.571;24.595;24.595;25.620;26.235;40.583;28.695;30.704;30.704;32.546;32.546;50.820;33.880;35.913;35.913;37.960;40.162;60.243;42.972;42.972;47.270;47.270;49.633;74.450;52.115;52.115;52.721;52.721;58.004;87.006;62.064;65.167;65.167;65.167;68.426;102.639;75.268;75.268;80.763;80.763;86.659;129.989;92.941;97.588;97.588;97.588;102.468;165.230;121.168;121.168;133.285;146.613;161.275;255.218;187.159;187.159;209.618;209.618;238.965;358.448;274.810;310.535;341.589;385.995;420.735;700.523;583.770;700.524;784.587;866.968;936.326;1.460.669;973.779;1.071.157;1.071.157;1.156.850;1.156.850;1.769.981;1.262.586;1.262.586;1.292.888;1.339.432;1.339.432;2.049.330;1.414.038;1.414.038;1.414.038;1.513.021;1.513.021;2.269.532;1.513.021;1.513.021;1.513.021;1.513.021;1.513.021;2.269.532;1.513.021;1.513.021;1.513.021;1.513.021;1.513.021;2.269.532;
43;9.304;9.769;9.769;10.306;10.306;16.341;10.894;11.602;11.602;12.379;12.379;18.569;12.379;12.998;12.998;13.648;13.648;21.741;14.494;15.713;15.713;15.713;16.970;25.455;16.970;17.649;17.649;18.355;18.355;19.206;19.206;20.167;20.167;21.298;21.298;31.947;21.298;22.789;22.789;22.789;22.789;35.781;24.493;25.558;25.558;26.623;27.262;42.170;29.817;31.904;31.904;33.818;33.818;52.808;35.205;37.318;37.318;39.445;41.733;62.600;44.654;44.654;49.119;49.119;51.575;77.363;54.154;54.154;56.862;56.862;60.273;90.410;64.493;67.717;67.717;67.717;71.103;106.655;78.213;78.213;83.923;83.923;90.049;135.074;96.578;101.407;101.407;101.407;106.477;171.694;125.909;125.909;138.500;152.350;167.585;265.203;194.482;194.482;217.820;217.820;248.315;372.473;285.562;322.685;354.954;401.097;437.196;727.932;606.609;727.931;815.283;900.888;972.959;1.517.816;1.011.877;1.113.065;1.113.065;1.202.110;1.202.110;1.839.228;1.311.983;1.311.983;1.343.471;1.391.836;1.391.836;2.129.508;1.469.361;1.469.361;1.469.361;1.572.216;1.572.216;2.358.324;1.572.216;1.572.216;1.572.216;1.572.216;1.572.216;2.358.324;1.572.216;1.572.216;1.572.216;1.572.216;1.572.216;2.358.324;
44;9.678;10.162;10.162;10.721;10.721;16.998;11.332;12.068;12.068;12.877;12.877;19.316;12.877;13.521;13.521;14.197;14.197;22.616;15.077;16.345;16.345;16.345;17.653;26.480;17.653;18.359;18.359;19.093;19.093;19.979;19.979;20.978;20.978;22.155;22.155;33.233;22.155;23.706;23.706;23.706;23.706;37.221;25.479;26.586;26.586;27.694;28.359;43.868;31.017;33.188;33.188;35.179;35.179;54.932;36.621;38.820;38.820;41.032;43.412;65.118;46.451;46.451;51.096;51.096;53.651;80.477;56.334;56.334;59.150;59.150;62.699;94.049;67.088;70.443;70.443;70.443;73.965;110.948;81.361;81.361;87.301;87.301;93.674;140.511;100.465;105.488;105.488;105.488;110.763;178.605;130.977;130.977;144.074;158.482;174.330;275.877;202.310;202.310;226.587;226.587;258.309;387.464;297.055;335.672;369.239;417.240;454.792;757.229;631.024;757.229;848.096;937.146;1.012.118;1.578.903;1.052.602;1.157.863;1.157.863;1.250.492;1.250.492;1.913.253;1.364.787;1.364.787;1.397.542;1.447.853;1.447.853;2.215.215;1.528.498;1.528.498;1.528.498;1.635.493;1.635.493;2.453.240;1.635.493;1.635.493;1.635.493;1.635.493;1.635.493;2.453.240;1.635.493;1.635.493;1.635.493;1.635.493;1.635.493;2.453.240;
45;10.361;10.879;10.879;11.477;11.477;18.198;12.132;12.920;12.920;13.786;13.786;20.679;13.786;14.475;14.475;15.199;15.199;24.212;16.141;17.499;17.499;17.499;18.899;28.349;18.899;19.655;19.655;20.441;20.441;21.390;21.390;22.459;22.459;23.719;23.719;35.579;23.719;25.379;25.379;25.379;25.379;39.848;27.277;28.463;28.463;29.649;30.360;46.964;33.207;35.531;35.531;37.663;37.663;58.811;39.207;41.560;41.560;43.929;46.476;69.714;49.730;49.730;54.703;54.703;57.438;86.157;60.310;60.310;63.325;63.325;67.125;100.688;71.823;75.415;75.415;75.415;79.185;118.778;87.104;87.104;93.463;93.463;100.285;150.428;107.556;112.934;112.934;112.934;118.580;191.211;140.221;140.221;154.244;169.668;186.635;295.350;216.590;216.590;242.580;242.580;276.541;414.812;318.022;359.365;395.302;446.691;486.893;810.677;675.564;810.677;907.958;1.003.293;1.083.557;1.690.349;1.126.899;1.239.589;1.239.589;1.338.756;1.338.756;2.048.297;1.464.119;1.464.119;1.499.258;1.553.231;1.553.231;2.371.574;1.636.386;1.636.386;1.636.386;1.750.933;1.750.933;2.626.400;1.750.933;1.750.933;1.750.933;1.750.933;1.750.933;2.626.400;1.750.933;1.750.933;1.750.933;1.750.933;1.750.933;2.626.400;
AYUDANTE DE CHOFER;8.329;8.745;8.745;9.226;9.226;14.628;9.752;10.386;10.386;11.082;11.082;16.623;11.082;11.636;11.636;12.218;12.218;19.464;12.976;14.067;14.067;14.067;15.192;22.788;15.192;15.800;15.800;16.432;16.432;17.194;17.194;18.054;18.054;19.067;19.067;28.601;19.067;20.401;20.401;20.401;20.401;32.033;21.927;22.880;22.880;23.834;24.406;37.752;26.694;28.563;28.563;30.277;30.277;47.277;31.518;33.408;33.408;35.312;37.361;56.042;39.976;39.976;43.973;43.973;46.172;69.258;48.481;48.481;50.905;50.905;53.959;80.939;57.736;60.623;60.623;60.623;63.654;95.481;70.019;70.019;75.131;75.131;80.615;120.923;86.460;90.783;90.783;90.783;95.322;153.707;112.718;112.718;123.990;136.389;150.028;237.420;174.108;174.108;195.001;195.001;222.301;333.452;255.646;288.880;317.768;359.078;391.395;651.674;543.061;651.674;729.875;806.511;871.032;1.358.810;905.873;996.461;996.461;1.076.178;1.076.178;1.646.552;1.174.541;1.174.541;1.202.730;1.246.028;1.246.028;1.906.422;1.315.432;1.315.432;1.315.432;1.407.512;1.407.512;2.111.268;1.407.512;1.407.512;1.407.512;1.407.512;1.407.512;2.111.268;1.407.512;1.407.512;1.407.512;1.407.512;1.407.512;2.111.268;
ACOMPAÑANTE CON REGISTRO;8.624;9.055;9.055;9.553;9.553;15.146;10.097;10.754;10.754;11.474;11.474;17.211;11.474;12.048;12.048;12.650;12.650;20.151;13.434;14.564;14.564;14.564;15.729;23.594;15.729;16.359;16.359;17.013;17.013;17.802;17.802;18.692;18.692;19.741;19.741;29.612;19.741;21.123;21.123;21.123;21.123;33.165;22.702;23.689;23.689;24.676;25.269;39.087;27.637;29.571;29.571;31.345;31.345;48.945;32.630;34.589;34.589;36.561;38.682;58.023;41.389;41.389;45.528;45.528;47.805;71.708;50.195;50.195;52.705;52.705;55.867;83.801;59.778;62.767;62.767;62.767;65.905;98.858;72.495;72.495;77.787;77.787;83.466;125.199;89.517;93.993;93.993;93.993;98.693;159.143;116.704;116.704;128.375;141.212;155.333;245.816;180.264;180.264;201.896;201.896;230.161;345.242;264.685;299.094;329.003;371.774;405.233;674.714;562.262;674.715;755.681;835.027;901.829;1.406.855;937.903;1.031.693;1.031.693;1.114.228;1.114.228;1.704.770;1.216.069;1.216.069;1.245.255;1.290.084;1.290.084;1.973.828;1.361.941;1.361.941;1.361.941;1.457.277;1.457.277;2.185.916;1.457.277;1.457.277;1.457.277;1.457.277;1.457.277;2.185.916;1.457.277;1.457.277;1.457.277;1.457.277;1.457.277;2.185.916;
CHOFER DE PLANTA;9.304;9.769;9.769;10.306;10.306;16.341;10.894;11.602;11.602;12.379;12.379;18.569;12.379;12.998;12.998;13.648;13.648;21.741;14.494;15.713;15.713;15.713;16.970;25.455;16.970;17.649;17.649;18.355;18.355;19.207;19.207;20.167;20.167;21.298;21.298;31.947;21.298;22.789;22.789;22.789;22.789;35.781;24.493;25.558;25.558;26.623;27.262;42.171;29.818;31.905;31.905;33.819;33.819;52.809;35.206;37.318;37.318;39.446;41.733;62.600;44.655;44.655;49.120;49.120;51.576;77.364;54.155;54.155;56.863;56.863;60.274;90.411;64.494;67.718;67.718;67.718;71.105;106.658;78.215;78.215;83.924;83.924;90.051;135.077;96.580;101.409;101.409;101.409;106.479;171.698;125.911;125.911;138.503;152.353;167.588;265.208;194.486;194.486;217.824;217.824;248.319;372.479;285.567;322.691;354.960;401.105;437.204;727.946;606.620;727.944;815.297;900.903;972.976;1.517.843;1.011.895;1.113.084;1.113.084;1.202.131;1.202.131;1.839.261;1.312.006;1.312.006;1.626.887;1.391.860;1.391.860;2.129.546;1.469.386;1.469.386;1.469.386;1.572.243;1.572.243;2.358.365;1.572.243;1.572.243;1.572.243;1.572.243;1.572.243;2.358.365;1.572.243;1.572.243;1.572.243;1.572.243;1.572.243;2.358.365;
CHOFER DE GERENCIA;9.678;10.162;10.162;10.721;10.721;16.998;11.332;12.068;12.068;12.877;12.877;19.316;12.877;13.521;13.521;14.197;14.197;22.616;15.077;16.345;16.345;16.345;17.653;26.480;17.653;18.359;18.359;19.093;19.093;19.979;19.979;20.978;20.978;22.155;22.155;33.233;22.155;23.706;23.706;23.706;23.706;37.221;25.478;26.586;26.586;27.693;28.358;43.866;31.017;33.188;33.188;35.179;35.179;54.932;36.621;38.819;38.819;41.031;43.411;65.117;46.450;46.450;51.095;51.095;53.650;80.475;56.332;56.332;59.149;59.149;62.698;94.047;67.087;70.441;70.441;70.441;73.963;110.945;81.359;81.359;87.298;87.298;93.671;140.507;100.462;105.485;105.485;105.485;110.760;178.601;130.973;130.973;144.071;158.478;174.326;275.870;202.305;202.305;226.581;226.581;258.302;387.453;297.047;335.663;369.229;417.229;454.780;757.208;631.007;757.208;848.074;937.121;1.012.091;1.517.843;1.052.575;1.157.832;1.157.832;1.250.459;1.250.459;1.913.202;1.364.751;1.364.751;1.397.505;1.447.815;1.447.815;2.215.157;1.528.458;1.528.458;1.528.458;1.635.450;1.635.450;2.453.175;1.635.450;1.635.450;1.635.450;1.635.450;1.635.450;2.453.175;1.635.450;1.635.450;1.635.450;1.635.450;1.635.450;2.453.175;
SERENO;8.953;9.401;9.401;9.918;9.918;15.725;10.483;11.165;11.165;11.913;11.913;17.870;11.913;12.509;12.509;13.134;13.134;20.922;13.948;15.121;15.121;15.121;16.331;24.497;16.331;17.269;17.269;17.988;17.988;18.823;18.823;19.764;19.764;20.873;20.873;31.310;20.873;22.334;22.334;22.334;22.334;35.066;24.004;25.047;25.047;26.091;26.717;41.328;29.222;31.268;31.268;33.144;33.144;51.755;34.503;36.572;36.572;38.657;40.899;61.349;43.762;43.762;48.138;48.138;50.545;75.818;53.072;53.072;55.726;55.726;59.069;88.604;63.204;66.364;66.364;66.364;69.683;104.525;76.651;76.651;82.246;82.246;88.250;132.375;94.649;99.381;99.381;99.381;104.350;168.264;123.394;123.394;135.733;149.307;164.237;259.905;190.597;190.597;213.469;213.469;243.355;365.033;279.858;316.240;347.864;393.086;428.464;713.393;594.493;713.392;798.999;882.894;953.526;1.517.843;991.667;1.090.834;1.090.834;1.178.100;1.178.100;1.802.493;1.285.779;1.285.779;1.316.638;1.364.036;1.364.036;2.086.976;1.440.013;1.440.013;1.440.013;1.540.814;1.540.814;2.311.221;1.540.814;1.540.814;1.540.814;1.540.814;1.540.814;2.311.221;1.540.814;1.540.814;1.540.814;1.540.814;1.540.814;2.311.221;
PORTERO;9.304;9.769;9.769;10.306;10.306;16.341;10.894;11.602;11.602;12.379;12.379;18.569;12.379;12.998;12.998;13.648;13.648;21.741;14.494;15.713;15.713;15.713;16.970;25.455;16.970;17.649;17.649;18.355;18.355;19.206;19.206;20.167;20.167;21.298;21.298;31.947;21.298;22.789;22.789;22.789;22.789;35.781;24.493;25.558;25.558;26.623;27.262;42.170;29.817;31.904;31.904;33.819;33.819;52.809;35.206;37.318;37.318;39.445;41.733;62.600;44.654;44.654;49.119;49.119;51.575;77.363;54.154;54.154;56.862;56.862;60.273;90.410;64.493;67.717;67.717;67.717;71.103;106.655;78.213;78.213;83.923;83.923;90.049;135.074;96.578;101.407;101.407;101.407;106.477;171.695;125.909;125.909;138.500;152.350;167.585;265.203;194.482;194.482;217.820;217.820;248.315;372.473;285.562;322.685;354.954;401.097;437.196;727.932;606.609;727.931;815.283;900.888;972.959;1.517.843;1.011.877;1.113.065;1.113.065;1.202.110;1.202.110;1.839.228;1.311.983;1.311.983;1.343.471;1.391.836;1.391.836;2.129.508;1.469.361;1.469.361;1.469.361;1.572.216;1.572.216;2.358.324;1.572.216;1.572.216;1.572.216;1.572.216;1.572.216;2.358.324;1.572.216;1.572.216;1.572.216;1.572.216;1.572.216;2.358.324;
ENCARGADO SISTEMAS;10.930;11.476;11.476;12.107;12.107;19.196;12.797;13.629;13.629;14.542;14.542;21.813;14.542;15.269;15.269;16.033;16.033;25.541;17.027;18.459;18.459;18.459;19.936;29.904;19.936;20.733;20.733;21.563;21.563;22.563;22.563;23.691;23.691;25.021;25.021;37.532;25.021;26.772;26.772;26.772;26.772;42.035;28.774;30.025;30.025;31.276;32.026;49.541;35.029;37.481;37.481;39.730;39.730;62.039;41.359;43.840;43.840;46.339;49.027;73.541;52.458;52.458;57.704;57.704;60.590;90.885;63.619;63.619;66.800;66.800;70.808;106.212;75.764;79.553;79.553;79.553;83.530;125.295;91.883;91.883;98.591;98.591;105.788;158.682;113.458;119.131;119.131;119.131;125.087;201.704;147.915;147.915;162.707;178.978;196.875;311.556;228.474;228.474;255.891;255.891;291.716;437.574;335.473;379.084;416.992;471.201;513.610;855.161;712.634;855.161;957.780;1.058.347;1.143.015;1.517.843;1.188.736;1.307.610;1.307.610;1.412.218;1.412.218;2.160.695;1.541.295;1.541.295;1.578.286;1.635.105;1.635.105;2.501.711;1.726.180;1.726.180;1.726.180;1.847.013;1.847.013;2.770.520;1.847.013;1.847.013;1.847.013;1.847.013;1.847.013;2.770.520;1.847.013;1.847.013;1.847.013;1.847.013;1.847.013;2.770.520;
ENCARGADO;10.930;11.476;11.476;12.107;12.107;19.196;12.797;13.629;13.629;14.542;14.542;21.813;14.542;15.269;15.269;16.033;16.033;25.541;17.027;18.459;18.459;18.459;19.936;29.904;19.936;20.733;20.733;21.563;21.563;22.563;22.563;23.691;23.691;25.021;25.021;37.532;25.021;26.772;26.772;26.772;26.772;42.035;28.774;30.025;30.025;31.276;32.026;49.541;35.029;37.481;37.481;39.730;39.730;62.039;41.359;43.840;43.840;46.339;49.027;73.541;52.458;52.458;57.704;57.704;60.590;90.885;63.619;63.619;66.800;66.800;70.808;106.212;75.764;79.553;79.553;79.553;83.530;125.295;91.883;91.883;98.591;98.591;105.788;158.682;113.458;119.131;119.131;119.131;125.087;201.704;147.915;147.915;162.707;178.978;196.875;311.556;228.474;228.474;255.891;255.891;291.716;437.574;335.473;379.084;416.992;471.201;513.610;855.161;712.634;855.161;957.780;1.058.347;1.143.015;1.517.843;1.188.736;1.307.610;1.307.610;1.412.218;1.412.218;2.160.695;1.541.295;1.541.295;1.578.286;1.635.105;1.635.105;2.501.711;1.726.180;1.726.180;1.726.180;1.847.013;1.847.013;2.770.520;1.847.013;1.847.013;1.847.013;1.847.013;1.847.013;2.770.520;1.847.013;1.847.013;1.847.013;1.847.013;1.847.013;2.770.520;
SUB CAPATAZ;10.930;11.476;11.476;12.107;12.107;19.196;12.797;13.629;13.629;14.542;14.542;21.813;14.542;15.269;15.269;16.033;16.033;25.541;17.027;18.459;18.459;18.459;19.936;29.904;19.936;20.733;20.733;21.563;21.563;22.563;22.563;23.691;23.691;25.021;25.021;37.532;25.021;26.772;26.772;26.772;26.772;42.035;28.774;30.025;30.025;31.276;32.026;49.541;35.029;37.481;37.481;39.730;39.730;62.039;41.359;43.840;43.840;46.339;49.027;73.541;52.458;52.458;57.704;57.704;60.590;90.885;63.619;63.619;66.800;66.800;70.808;106.212;75.764;79.553;79.553;79.553;83.530;125.295;91.883;91.883;98.591;98.591;105.788;158.682;113.458;119.131;119.131;119.131;125.087;201.704;147.915;147.915;162.707;178.978;196.875;311.556;228.474;228.474;255.891;255.891;291.716;437.574;335.473;379.084;416.992;471.201;513.610;855.161;712.634;855.161;957.780;1.058.347;1.143.015;1.517.843;1.188.736;1.307.610;1.307.610;1.412.218;1.412.218;2.160.695;1.541.295;1.541.295;1.578.286;1.635.105;1.635.105;2.501.711;1.726.180;1.726.180;1.726.180;1.847.013;1.847.013;2.770.520;1.847.013;1.847.013;1.847.013;1.847.013;1.847.013;2.770.520;1.847.013;1.847.013;1.847.013;1.847.013;1.847.013;2.770.520;
ENCARGADO PORTERIA;11.277;11.841;11.841;12.492;12.492;19.806;13.204;14.063;14.063;15.005;15.005;22.508;15.005;15.755;15.755;16.543;16.543;26.352;17.568;19.046;19.046;19.046;20.570;30.855;20.570;21.393;21.393;22.249;22.249;23.281;23.281;24.445;24.445;25.816;25.816;38.724;25.816;27.623;27.623;27.623;27.623;43.371;29.689;30.979;30.979;32.270;33.045;51.116;36.143;38.673;38.673;40.993;40.993;64.011;42.674;45.234;45.234;47.813;50.586;75.879;54.127;54.127;59.539;59.539;62.516;93.774;65.642;65.642;68.924;68.924;73.060;109.590;78.174;82.083;82.083;82.083;86.187;129.281;94.805;94.805;101.726;101.726;109.152;163.728;117.066;122.919;122.919;122.919;129.065;208.118;152.619;152.619;167.881;184.669;203.136;321.464;235.740;235.740;264.029;264.029;300.993;451.490;346.142;391.140;430.254;486.187;529.944;882.357;735.297;882.357;988.240;1.092.004;1.179.365;1.517.843;1.226.539;1.349.193;1.349.193;1.457.129;1.457.129;2.229.408;1.590.311;1.590.311;1.628.478;1.687.103;1.687.103;2.581.268;1.781.075;1.781.075;1.781.075;1.905.750;1.905.750;2.858.625;1.905.750;1.905.750;1.905.750;1.905.750;1.905.750;2.858.625;1.905.750;1.905.750;1.905.750;1.905.750;1.905.750;2.858.625;
ENCARGADO LABORATORIO;11.277;11.841;11.841;12.492;12.492;19.806;13.204;14.063;14.063;15.005;15.005;22.508;15.005;15.755;15.755;16.543;16.543;26.352;17.568;19.046;19.046;19.046;20.570;30.855;20.570;21.393;21.393;22.249;22.249;23.281;23.281;24.445;24.445;25.816;25.816;38.724;25.816;27.623;27.623;27.623;27.623;43.371;29.689;30.979;30.979;32.270;33.045;51.116;36.143;38.673;38.673;40.993;40.993;64.011;42.674;45.234;45.234;47.813;50.586;75.879;54.127;54.127;59.539;59.539;62.516;93.774;65.642;65.642;68.924;68.924;73.060;109.590;78.174;82.083;82.083;82.083;86.187;129.281;94.805;94.805;101.726;101.726;109.152;163.728;117.066;122.919;122.919;122.919;129.065;208.118;152.619;152.619;167.881;184.669;203.136;321.464;235.740;235.740;264.029;264.029;300.993;451.490;346.142;391.140;430.254;486.187;529.944;882.357;735.297;882.357;988.240;1.092.004;1.179.365;1.517.843;1.226.539;1.349.193;1.349.193;1.457.129;1.457.129;2.229.408;1.590.311;1.590.311;1.628.478;1.687.103;1.687.103;2.581.268;1.781.075;1.781.075;1.781.075;1.905.750;1.905.750;2.858.625;1.905.750;1.905.750;1.905.750;1.905.750;1.905.750;2.858.625;1.905.750;1.905.750;1.905.750;1.905.750;1.905.750;2.858.625;
ENCARGADO ADMINISTRATIVO;11.277;11.841;11.841;12.492;12.492;19.806;13.204;14.063;14.063;15.005;15.005;22.508;15.005;15.755;15.755;16.543;16.543;26.352;17.568;19.046;19.046;19.046;20.570;30.855;20.570;21.393;21.393;22.249;22.249;23.281;23.281;24.445;24.445;25.816;25.816;38.724;25.816;27.623;27.623;27.623;27.623;43.371;29.689;30.979;30.979;32.270;33.045;51.116;36.143;38.673;38.673;40.993;40.993;64.011;42.674;45.234;45.234;47.813;50.586;75.879;54.127;54.127;59.539;59.539;62.516;93.774;65.642;65.642;68.924;68.924;73.060;109.590;78.174;82.083;82.083;82.083;86.187;129.281;94.805;94.805;101.726;101.726;109.152;163.728;117.066;122.919;122.919;122.919;129.065;208.118;152.619;152.619;167.881;184.669;203.136;321.464;235.740;235.740;264.029;264.029;300.993;451.490;346.142;391.140;430.254;486.187;529.944;882.357;735.297;882.357;988.240;1.092.004;1.179.365;1.517.843;1.226.539;1.349.193;1.349.193;1.457.129;1.457.129;2.229.408;1.590.311;1.590.311;1.628.478;1.687.103;1.687.103;2.581.268;1.781.075;1.781.075;1.781.075;1.905.750;1.905.750;2.858.625;1.905.750;1.905.750;1.905.750;1.905.750;1.905.750;2.858.625;1.905.750;1.905.750;1.905.750;1.905.750;1.905.750;2.858.625;
CAPATAZ;11.277;11.841;11.841;12.492;12.492;19.806;13.204;14.063;14.063;15.005;15.005;22.508;15.005;15.755;15.755;16.543;16.543;26.352;17.568;19.046;19.046;19.046;20.570;30.855;20.570;21.393;21.393;22.249;22.249;23.281;23.281;24.445;24.445;25.816;25.816;38.724;25.816;27.623;27.623;27.623;27.623;43.371;29.689;30.979;30.979;32.270;33.045;51.011;36.143;38.673;38.673;40.993;40.993;64.011;42.674;45.234;45.234;47.813;50.586;75.879;54.127;54.127;59.539;59.539;62.516;93.774;65.642;65.642;68.924;68.924;73.060;109.590;78.174;82.083;82.083;82.083;86.187;129.281;94.805;94.805;101.726;101.726;109.152;163.728;117.066;122.919;122.919;122.919;129.065;208.118;152.619;152.619;167.881;184.669;203.136;321.464;235.740;235.740;264.029;264.029;300.993;451.490;346.142;391.140;430.254;486.187;529.944;882.357;735.297;882.357;988.240;1.092.004;1.179.365;1.517.843;1.226.539;1.349.193;1.349.193;1.457.129;1.457.129;2.229.408;1.590.311;1.590.311;1.628.478;1.687.103;1.687.103;2.581.268;1.781.075;1.781.075;1.781.075;1.905.750;1.905.750;2.858.625;1.905.750;1.905.750;1.905.750;1.905.750;1.905.750;2.858.625;1.905.750;1.905.750;1.905.750;1.905.750;1.905.750;2.858.625;
