CATEGORIA;ene-15;feb-15;mar-15;abr-15;may-15;jun-15;jul-15;ago-15;sept-15;oct-15;nov-15;dic-15;ene-16;feb-16;mar-16;abr-16;may-16;jun-16;jul-16;ago-16;sept-16;oct-16;nov-16;dic-16;ene-17;feb-17;mar-17;abr-17;may-17;jun-17;jul-17;ago-17;sept-17;oct-17;nov-17;dic-17;ene-18;feb-18;mar-18;abr-18;may-18;jun-18;jul-18;ago-18;sept-18;oct-18;nov-18;dic-18;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sept-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sept-25;oct-25;nov-25;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;
OPERARIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TECNICOS MECANICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;9.678;10.162;10.162;10.721;10.721;16.998;11.332;12.068;12.068;12.877;12.877;19.316;12.877;13.521;13.521;14.197;14.197;22.616;15.077;16.345;16.345;16.345;17.653;26.480;17.653;18.359;18.359;19.093;19.093;19.979;19.979;20.978;20.978;22.155;22.155;33.233;22.155;23.706;23.706;23.706;23.706;37.227;25.479;26.586;26.586;27.694;28.359;43.868;31.017;33.188;33.188;35.179;35.179;54.932;36.621;38.820;38.820;41.032;43.412;65.118;46.451;46.451;51.096;51.096;53.651;80.477;56.334;56.334;59.150;59.150;62.699;94.049;67.088;70.442;70.442;70.442;73.965;110.948;81.361;81.361;87.301;87.301;93.674;140.511;100.465;105.488;105.488;105.488;110.763;178.605;130.977;130.977;144.074;158.482;174.330;275.877;202.310;202.310;226.587;226.587;258.309;387.464;297.055;335.672;369.239;417.240;454.792;757.229;631.024;757.229;848.096;937.146;1.012.118;1.578.903;1.052.602;1.157.863;1.157.863;1.250.492;1.250.492;1.913.253;1.364.787;1.364.787;1.397.542;1.447.853;1.447.853;2.215.215;1.528.499;1.528.499;1.528.499;1.635.494;1.635.494;2.453.241;1.635.494;1.635.494;1.635.494;1.635.494;1.635.494;2.453.241;1.635.494;1.635.494;1.635.494;1.635.494;1.635.494;2.453.241;
26;10.020;10.521;10.521;11.099;11.099;18.198;12.132;12.494;12.494;13.331;13.331;19.997;13.331;13.998;13.998;14.698;14.698;23.414;15.609;16.922;16.922;16.922;18.276;27.414;18.276;19.007;19.007;19.767;19.767;20.685;20.685;21.719;21.719;22.937;22.937;34.406;22.937;24.543;24.543;24.543;24.543;38.535;26.378;27.525;27.525;28.671;29.360;45.416;32.112;34.360;34.360;36.422;36.422;56.873;37.915;40.190;40.190;42.480;44.944;67.416;48.090;48.090;52.899;52.899;57.438;861.584;58.322;58.322;61.238;61.238;64.912;97.368;69.456;72.929;72.929;72.929;76.575;114.863;84.233;84.233;90.382;90.382;96.979;145.469;104.010;109.211;109.211;109.211;114.671;184.908;135.599;135.599;149.159;164.075;180.482;285.614;209.450;209.450;234.584;234.584;267.426;401.139;307.540;347.520;382.272;431.968;470.845;783.957;653.297;783.956;878.031;970.224;1.047.842;1.634.634;1.089.756;1.198.732;1.198.732;1.294.630;1.294.630;1.980.785;1.415.959;1.415.959;1.449.942;1.502.140;1.502.140;2.293.406;1.582.450;1.582.450;1.582.450;1.693.222;1.693.222;2.539.833;1.693.222;1.693.222;1.693.222;1.693.222;1.693.222;2.539.833;1.693.222;1.693.222;1.693.222;1.693.222;1.693.222;2.539.833;
27;10.361;10.879;10.879;11.478;11.478;19.196;12.797;12.920;12.920;13.786;13.786;20.679;13.786;14.475;14.475;15.199;15.199;24.212;16.141;17.499;17.499;17.499;18.899;28.349;18.899;19.655;19.655;20.441;20.441;21.390;21.390;22.459;22.459;23.719;23.719;35.579;23.719;25.379;25.379;25.379;25.379;39.848;27.277;28.463;28.463;29.649;30.360;46.964;33.207;35.531;35.531;37.663;37.663;58.811;39.207;41.560;41.560;43.929;46.476;69.714;49.730;49.730;54.703;54.703;60.590;90.885;60.310;60.310;63.325;63.325;67.125;100.688;71.823;75.415;75.415;75.415;79.185;118.778;87.104;87.104;93.463;93.463;100.285;150.428;107.556;112.934;112.934;112.934;118.580;191.211;140.221;140.221;154.244;169.668;186.635;295.350;216.590;216.590;242.580;242.580;276.541;414.812;318.022;359.365;395.302;446.691;486.893;810.677;675.564;810.677;907.958;1.003.293;1.083.557;1.690.349;1.126.899;1.239.589;1.239.589;1.338.756;1.338.756;2.048.297;1.461.119;1.461.119;1.496.186;1.550.049;1.550.049;2.371.574;1.636.386;1.636.386;1.636.386;1.750.933;1.750.933;2.626.400;1.750.933;1.750.933;1.750.933;1.750.933;1.750.933;2.626.400;1.750.933;1.750.933;1.750.933;1.750.933;1.750.933;2.626.400;
LABORATORIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;8.624;9.055;9.055;9.553;9.553;15.146;10.097;10.754;10.754;11.474;11.474;17.211;11.474;12.048;12.048;12.650;12.650;20.151;13.434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;8.953;9.401;9.401;9.918;9.918;15.725;10.483;11.165;11.165;11.913;11.913;17.870;11.913;12.509;12.509;13.134;13.134;20.922;13.948;15.121;15.121;15.121;16.331;24.497;16.331;16.984;16.984;17.664;17.664;18.483;18.483;19.407;19.407;20.496;20.496;30.744;20.496;21.931;21.931;21.931;21.931;34.434;23.571;24.595;24.595;25.620;26.235;40.583;28.695;30.704;30.704;32.546;32.546;50.820;33.880;35.913;35.913;37.960;40.161;60.242;42.972;42.972;47.270;47.270;49.633;74.450;52.115;52.115;54.721;54.721;58.004;87.006;62.064;65.167;65.167;65.167;68.426;102.639;75.268;75.268;80.763;80.763;86.659;129.989;92.941;97.588;97.588;97.588;102.468;165.230;121.168;121.168;133.285;146.613;161.275;255.218;187.159;187.159;209.618;209.618;238.965;358.448;274.810;310.535;341.589;385.995;420.735;700.523;583.770;700.524;784.587;866.968;936.326;1.460.669;973.779;1.071.157;1.071.157;1.156.850;1.156.850;1.769.981;1.262.586;1.262.586;1.292.888;1.339.432;1.339.432;2.049.330;1.414.038;1.414.038;1.414.038;1.513.021;1.513.021;2.269.532;1.513.021;1.513.021;1.513.021;1.513.021;1.513.021;2.269.532;1.513.021;1.513.021;1.513.021;1.513.021;1.513.021;2.269.532;
33;9.304;9.769;9.769;10.306;10.306;16.341;10.894;11.602;11.602;12.379;12.379;18.569;12.379;12.998;12.998;13.648;13.648;21.741;14.494;15.713;15.713;15.713;16.970;25.455;16.970;17.469;17.469;18.355;18.355;19.206;19.206;20.167;20.167;21.298;21.298;31.947;21.298;22.789;22.789;22.789;22.789;35.781;24.493;25.558;25.558;26.623;27.262;42.170;29.817;31.904;31.904;33.818;33.818;52.808;35.205;37.318;37.318;39.445;41.733;62.600;44.654;44.654;49.119;49.119;51.575;77.363;54.154;54.154;58.862;58.862;60.273;90.410;64.493;67.717;67.717;67.717;71.103;106.655;78.213;78.213;83.923;83.923;90.049;135.074;96.578;101.407;101.407;101.407;106.477;171.695;125.909;125.909;138.500;152.350;167.585;265.203;194.482;194.482;217.820;217.820;248.315;372.473;285.562;322.685;354.954;401.097;437.196;727.932;606.609;727.931;815.283;900.888;972.959;1.517.816;1.011.877;1.113.065;1.113.065;1.202.110;1.202.110;1.839.228;1.311.983;1.311.983;1.343.471;1.391.836;1.391.836;2.129.508;1.469.361;1.469.361;1.469.361;1.572.216;1.572.216;2.358.324;1.572.216;1.572.216;1.572.216;1.572.216;1.572.216;2.358.324;1.572.216;1.572.216;1.572.216;1.572.216;1.572.216;2.358.324;
34;9.678;10.162;10.162;10.721;10.721;16.998;11.332;12.068;12.068;12.877;12.877;19.316;12.877;13.521;13.521;14.197;14.197;22.616;15.077;16.345;16.345;16.345;17.653;26.480;17.653;18.359;18.359;19.093;19.093;19.979;19.979;20.978;20.978;22.155;22.155;33.233;22.155;23.706;23.706;23.706;23.706;37.221;25.479;26.586;26.586;27.694;28.359;43.868;31.017;33.188;33.188;35.179;35.179;54.932;36.621;38.820;38.820;41.032;43.412;65.118;46.451;46.451;51.096;51.096;53.651;80.477;56.334;56.334;59.150;59.150;62.699;94.049;67.088;70.443;70.443;70.443;73.965;110.948;81.361;81.361;87.301;87.301;93.674;140.511;100.465;105.488;105.488;105.488;110.763;178.605;130.977;130.977;144.074;158.482;174.330;275.877;202.310;202.310;226.587;226.587;258.309;387.464;297.055;335.672;369.239;417.240;454.792;757.229;631.024;757.229;848.096;937.146;1.012.118;1.578.903;1.052.602;1.157.863;1.157.863;1.250.492;1.250.492;1.913.253;1.364.787;1.364.787;1.397.542;1.447.854;1.447.854;2.215.215;1.528.498;1.528.498;1.528.498;1.635.493;1.635.493;2.453.240;1.635.493;1.635.493;1.635.493;1.635.493;1.635.493;2.453.240;1.635.493;1.635.493;1.635.493;1.635.493;1.635.493;2.453.240;
TECNICOS QUIMICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
