CONTRIBUCION EMPRESARIAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERIODO;ene-15;feb-15;mar-15;abr-15;may-15;jun-15;jul-15;ago-15;sept-15;oct-15;nov-15;dic-15;ene-16;feb-16;mar-16;abr-16;may-16;jun-16;jul-16;ago-16;sept-16;oct-16;nov-16;dic-16;ene-17;feb-17;mar-17;abr-17;may-17;jun-17;jul-17;ago-17;sept-17;oct-17;nov-17;dic-17;ene-18;feb-18;mar-18;abr-18;may-18;jun-18;jul-18;ago-18;sept-18;oct-18;nov-18;dic-18;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sept-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sept-25;oct-25;nov-25;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;
CONTRIBUCION ;163,50;184,36;184,36;193,95;193,95;204,45;204,45;217,09;217,09;230,97;230,97;230,97;230,97;242,02;242,02;253,62;253,62;268,73;268,73;290,48;290,48;290,48;312,93;312,93;312,93;325,02;325,02;337,63;337,63;352,84;352,84;369,97;369,97;390,19;390,19;390,19;390,19;416,80;416,80;416,80;416,80;435,78;447,19;466,20;466,20;485,22;496,62;511,83;542,25;579,50;579,50;613,65;613,65;638,42;638,42;676,12;676,12;714,08;754,93;754,93;807,06;807,06;886,79;886,79;930,63;930,63;976,65;976,65;1.024,98;1.024,98;1.085,88;1.085,88;1.161,22;1.218,77;1.218,77;1.218,77;1.279,22;1.279,22;1.406,10;1.406,10;1.508,02;1.508,02;1.617,39;1.617,39;1.733,93;1.820,12;1.820,12;1.820,12;1.910,63;2.053,18;2.257,51;2.257,51;2.482,24;2.729,47;3.001,40;3.165,95;3.481,52;3.481,52;3.898,11;3.898,11;4.442,45;4.442,45;5.107,30;5.769,94;6.345,94;7.169,62;7.813,97;8.672,42;10.838,03;13.003,63;14.562,88;16.091,00;17.378,00;18.073,50;18.073,50;19.879,85;19.879,85;21.469,43;21.469,43;21.898,75;23.430,80;23.430,80;23.992,90;24.856,28;24.856,28;25.353,18;26.240,20;26.240,20;26.240,20;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;28.076,32;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
